lat,lon,name,category,address
13.0085925,80.2175838,Unnamed Apartment,Apartment Complex,", Chennai"
13.0087369,80.2174312,Unnamed Apartment,Apartment Complex,", Chennai"
13.0088515,80.2172501,Unnamed Apartment,Apartment Complex,", Chennai"
13.0089132,80.2170883,Unnamed Apartment,Apartment Complex,", Chennai"
13.0089683,80.2169198,Unnamed Apartment,Apartment Complex,", Chennai"
13.008998,80.2167625,Unnamed Apartment,Apartment Complex,", Chennai"
13.0076168,80.2178053,Unnamed Apartment,Apartment Complex,", Chennai"
13.0550509,80.2571849,Landmark Vertica,Residential Apartment,", Chennai"
12.9907509,80.2171805,The Crest Tower A,Residential Apartment,", Chennai"
12.9903979,80.2167382,The Crest Tower B,Residential Apartment,", Chennai"
12.9922327,80.2166899,The Crest Tower C,Residential Apartment,", Chennai"
13.0888197,80.1099872,Unnamed Apartment,Apartment Complex,", Chennai"
13.0887634,80.11051,Unnamed Apartment,Apartment Complex,", Chennai"
13.0890518,80.1093602,Unnamed Apartment,Apartment Complex,", Chennai"
13.088622,80.1092157,Unnamed Apartment,Apartment Complex,", Chennai"
13.0887835,80.1098098,Hazel Apartments,Apartment Complex,", Chennai"
13.1019455,80.2852882,Unnamed Apartment,Apartment Complex,", Chennai"
13.1018536,80.2852913,Unnamed Apartment,Apartment Complex,", Chennai"
13.1017666,80.2852717,CLK House,Residential Apartment,", Chennai"
13.101711,80.2852589,Unnamed Apartment,Apartment Complex,", Chennai"
13.1015474,80.2851993,Unnamed Apartment,Apartment Complex,", Chennai"
13.1014489,80.2851971,Unnamed Apartment,Apartment Complex,", Chennai"
13.1013672,80.2851744,Unnamed Apartment,Apartment Complex,", Chennai"
13.1021278,80.2851585,Unnamed Apartment,Apartment Complex,", Chennai"
12.9971615,80.2552754,Elite Towers,Residential Apartment,", Chennai"
13.0032655,80.2710218,Vantage Tower,Residential Apartment,", Chennai"
13.0035467,80.2698925,Unnamed Apartment,Apartment Complex,", Chennai"
13.0032563,80.2712591,Unnamed Apartment,Apartment Complex,", Chennai"
13.0032554,80.2714263,Unnamed Apartment,Apartment Complex,", Chennai"
13.0034985,80.2714794,Unnamed Apartment,Apartment Complex,", Chennai"
13.0035343,80.2713304,Unnamed Apartment,Apartment Complex,", Chennai"
13.0036008,80.2711747,Unnamed Apartment,Apartment Complex,", Chennai"
13.1022882,80.2763267,Vaibhav Apartments,Apartment Complex,", Chennai"
