lat,lon,name,specialization,address
13.0889135,80.2811819,Ramdev Shersa Electrical,Electrical Components & Wiring,", Chennai"
13.0888603,80.2811704,S.K. Electricals,Electrical Components & Wiring,", Chennai"
13.0916304,80.2800294,Ambica Trading,General Hardware,", Chennai"
13.0916498,80.2800333,Manoj Electricals,Electrical Components & Wiring,", Chennai"
13.0920121,80.280013,Kanti Electricals,Electrical Components & Wiring,", Chennai"
13.0916562,80.2799377,Mohanlal & Co,General Hardware,", Chennai"
13.0916306,80.2799337,Metro Electricals,Electrical Components & Wiring,", Chennai"
13.09103,80.2798832,AJT Electricals,Electrical Components & Wiring,", Chennai"
13.0909362,80.2798722,J.K. Electricals,Electrical Components & Wiring,", Chennai"
13.065835,80.2056011,Koyambedu Mofussil Bus Terminal,Switches & Connectors,", Chennai"
13.0665289,80.2062855,Koyambedu Mofussil Bus Terminal,Switches & Connectors,", Chennai"
13.066402,80.2049735,Koyambedu Mofussil Bus Terminal,Switches & Connectors,", Chennai"
13.0523107,80.1127741,Senneerkuppam Electricity Board,Electrical Components & Wiring,", Chennai"
13.0523102,80.1127315,Senneerkuppam Electricity Board,Electrical Components & Wiring,", Chennai"
13.0440955,80.2254641,Velan hardware and paint shop,General Hardware,", Chennai"
13.1030383,80.2800757,Sireen Electricals,Electrical Components & Wiring,", Chennai"
12.8900625,80.1845184,Unnamed Hardware Shop,General Hardware,", Chennai"
12.895913,80.1730483,Unnamed Hardware Shop,General Hardware,", Chennai"
13.0498,80.2482949,Gemini Timber and Plywood,General Hardware,", Chennai"
12.8739858,80.2207237,Department of Electrical & Electronics Engg.,Electrical Components & Wiring,", Chennai"
13.1306555,80.2052,Ramesh electricals and hardware store,Electrical Components & Wiring,", Chennai"
12.9120062,80.1919864,S.S.Thangam & Co.,General Hardware,", Chennai"
13.0144,80.2249728,Suraj Electricals & Hardwares,Electrical Components & Wiring,", Chennai"
12.9887073,80.2307269,Department of Electrical & Electronics,Electrical Components & Wiring,", Chennai"
13.1287163,80.2925206,Communicable Diseases Hospital,Electrical Components & Wiring,"Tiruvottiyur Road, Tondiarpet, Chennai"
13.1035844,80.2925555,Royapuram Electric Loco Shed,Electrical Components & Wiring,", Chennai"
13.0114181,80.2344005,Department of Electrical & Electronics Engineering,Electrical Components & Wiring,", Chennai"
12.9811938,80.16004,Anna International Terminal 4,Switches & Connectors,", Chennai"
12.9838159,80.1666125,Kamaraj Domestic Terminal 1,Switches & Connectors,", Chennai"
12.9888728,80.1748066,Cargo Terminal,Switches & Connectors,", Chennai"
13.0672864,80.2072853,Tamilnadu Electricity Board (TNEB) office,Electrical Components & Wiring,"SAF Games Village, Koyambedu, Chennai"
12.9846078,80.1885626,Salam stores,General Hardware,", Chennai"
13.0654964,80.2206408,Visewham Electricals,Electrical Components & Wiring,", Chennai"
12.9521478,80.1453046,MAHALAXMI ELECTRICAL,Electrical Components & Wiring,", Chennai"
13.0640054,80.2219228,Sri Lakshmi Narayana Traders,General Hardware,"Kamaraj Nagar 4th Street, Chennai"
13.0863215,80.2055098,Tamilnadu Electricity Board Office,Electrical Components & Wiring,"H Block, 5th Street, Chennai"
12.9815084,80.1639084,Terminal Link Road,Switches & Connectors,", Chennai"
13.2807097,80.2324577,Chandra CFS And Terminal Operators PVT LTD,Switches & Connectors,", Chennai"
12.9786904,80.1600165,Terminal Link Road,Switches & Connectors,", Chennai"
12.9811306,80.1639057,Terminal Link Road,Switches & Connectors,", Chennai"
12.9258232,80.1030562,SR raja cement & steel store,General Hardware,", Chennai"
13.0869947,80.1974231,Thirumangalam Electricity Sub Station,Electrical Components & Wiring,", Chennai"
12.9914851,80.1871316,Electric Crematorium,Electrical Components & Wiring,", Chennai"
12.9490825,80.1694021,"English Electric Nagar, Old Pallavaram",Electrical Components & Wiring,", Chennai"
13.1216251,80.1488618,Unnamed Hardware Shop,General Hardware,", Chennai"
12.9628621,80.1987038,Tamil Nadu Electricity Board Office,Electrical Components & Wiring,"Madipakkam, Chennai"
12.9728348,80.1917299,Vadivelan Agencies,General Hardware,", Chennai"
12.972694,80.1916666,Vadivelan Agencies,General Hardware,", Chennai"
12.9827714,80.1643576,New Integrated Terminal (Terminal 2),Switches & Connectors,", Chennai"
12.9503793,80.1690741,English Electric Nagar 1st Main Road,Electrical Components & Wiring,", Chennai"
12.9479701,80.1681699,English Electric Nagar 11th Street,Electrical Components & Wiring,", Chennai"
12.9476266,80.1682837,English Electric Nagar 12th Street,Electrical Components & Wiring,", Chennai"
12.9476645,80.1694882,English Electric Nagar 15th Street,Electrical Components & Wiring,", Chennai"
12.9478322,80.1702652,English Electric Nagar 17th Street,Electrical Components & Wiring,", Chennai"
12.9486372,80.1706454,English Electric Nagar 2nd Main Road,Electrical Components & Wiring,", Chennai"
12.9491077,80.1694863,English Electric Nagar 7th Street,Electrical Components & Wiring,", Chennai"
12.9494496,80.1682346,English Electric Nagar 6th Street,Electrical Components & Wiring,", Chennai"
12.9501529,80.1683997,English Electric Nagar 30th Street,Electrical Components & Wiring,", Chennai"
12.9489873,80.1719863,English Electric Nagar 26th Street,Electrical Components & Wiring,", Chennai"
12.9493279,80.1709683,English Electric Nagar 29th Street,Electrical Components & Wiring,", Chennai"
12.9495335,80.169545,English Electric Nagar 5th Street,Electrical Components & Wiring,", Chennai"
12.9499264,80.1695992,English Electric Nagar 4th Street,Electrical Components & Wiring,", Chennai"
12.9503668,80.1693772,English Electric Nagar 3rd Street,Electrical Components & Wiring,", Chennai"
12.979124,80.1597986,Terminal Link Road,Switches & Connectors,", Chennai"
13.0941252,80.2871322,The South India Iron & Hardware Merchants Association,General Hardware,", Chennai"
13.0831741,80.2740399,Chennai Suburban Terminal (Moore Market Complex),Switches & Connectors,", Chennai"
13.0661548,80.2645979,Tamil Nadu Electricity Board Head Office,Electrical Components & Wiring,"Link Road, Chennai"
13.0672924,80.2696433,Warwick's Electric Theatre,Electrical Components & Wiring,", Chennai"
12.9508616,80.1686172,English Electric Nagar 2nd Street,Electrical Components & Wiring,", Chennai"
12.9490415,80.1681517,English Electric Nagar 8th Street,Electrical Components & Wiring,", Chennai"
12.9486516,80.1684021,English Electric Nagar 9th Street,Electrical Components & Wiring,", Chennai"
12.9482991,80.168351,English Electric Nagar 10th Street,Electrical Components & Wiring,", Chennai"
