objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
88999,8929079.290893555,1461478.8295288086,33,568,600034,33020901103,INFANT JESUS MAT SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
89061,8929019.512329102,1461594.6840820312,33,568,600032,33020901112,LIONS CLUB OF GUINDY LABOUR COLONY HIGH SCHOOL,4,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Government Aided,Urban
89064,8929024.076293945,1461603.5958862305,33,568,600032,33020901111,"Lions club of Guindy Labour colony primary school,ch-32",4,1,3,2,Primary,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Government Aided,Urban
89148,8928451.560302734,1461758.4122924805,33,568,600032,33020901109,CHRISTIAN MAT HSS,5,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
89357,8928388.776123047,1462118.32,33,568,600032,33020901101,CPS EKKATTUTHANGAL,3,1,3,2,Primary,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Local Body,Urban
89396,8928498.76,1462172.5927124023,33,568,600032,33020901110,ECI MAT HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Guindy,7169,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
89639,8929078.734313965,1462650.1931152344,33,568,600083,33020900306,DANIEL N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
89690,8929092.092529297,1462719.8912963867,33,568,600083,33020900510,MANIMEGALAI VID N&P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
89932,8929075.283325195,1463173.5059204102,33,568,600083,33020900311,CPS R.V NAGAR,3,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Local Body,Urban
89950,8928472.710876465,1463211.4409179688,33,568,600083,33020900212,SRI CHAITANYA TECHNO SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Mambalam,7165,803351,TAMIL NADU,Chennai,Alandur (M),Pvt. Unaided (Recognized),Urban
